"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","19","79.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/02/2021","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/03/2021","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/04/2021","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/05/2021","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/06/2021","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/07/2021","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/08/2021","AQS","530330030","1","0.8","ppm","9","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/09/2021","AQS","530330030","1","0.8","ppm","9","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/10/2021","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/11/2021","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/12/2021","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/13/2021","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/14/2021","AQS","530330030","1","0.8","ppm","9","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/15/2021","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/16/2021","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/17/2021","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/18/2021","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/19/2021","AQS","530330030","1","0.7","ppm","8","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/20/2021","AQS","530330030","1","1","ppm","11","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/21/2021","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/22/2021","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/23/2021","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/24/2021","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/25/2021","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/26/2021","AQS","530330030","1","0.5","ppm","6","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/27/2021","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/28/2021","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/29/2021","AQS","530330030","1","0.6","ppm","7","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/30/2021","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/31/2021","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/01/2021","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","2","8.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"01/01/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","19","79.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/02/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/03/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/04/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/05/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/06/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/07/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/08/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/09/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/10/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/11/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/12/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/13/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/14/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/15/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/16/2021","AQS","530330080","2","0.5","ppm","6","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/17/2021","AQS","530330080","2","0.5","ppm","6","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/18/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/19/2021","AQS","530330080","2","0.6","ppm","7","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/20/2021","AQS","530330080","2","0.6","ppm","7","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/21/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/22/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/23/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/24/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/25/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/26/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/27/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/28/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/29/2021","AQS","530330080","2","0.4","ppm","5","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/30/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"01/31/2021","AQS","530330080","2","0.3","ppm","3","SEATTLE - BEACON HILL","24","100.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
"02/01/2021","AQS","530330080","2","0.2","ppm","2","SEATTLE - BEACON HILL","2","8.0000","42101","Carbon monoxide","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.568236","-122.308628"
